article_link,headline,published_date,standfirst,tags
https://www.ft.com/content/97ae26a3-5ab6-4eaa-93a8-934f2c315045,Letter: Blockchain is more likely to boost than replace the professions,2021-09-17 20:25:32+00:00,"...contained good insights, you missed a key point: blockchain-based cryptocurrencies, like ",Letter
https://www.ft.com/content/402a5425-bfd9-43a6-a549-5af8534e295f,FirstFT: Wall Street trading groups boost crypto markets,2021-09-17 10:09:32+00:00,...Three-quarters of you disagreed with Ark Invest’s Cathie Wood that ,FirstFT
https://www.ft.com/content/57ef63ba-a1ee-4001-bedd-fc26dd57a8c9,Further reading,2021-09-17 07:23:40+00:00,"...the ECB’s private conversations with German economists.
						
						– On school bus driver “shortages”.
						
						– A documentary on ",FT Alphaville
https://www.ft.com/content/8e3784f8-5605-40aa-a8b5-3d0e5bdae9a9,Laos welcomes cryptocurrency miners,2021-09-17 04:13:21+00:00,...protect yourself on the pretty serious pullbacks that you see in the ,Transcript
https://www.ft.com/content/8e955e9a-6e03-41b9-8da2-2e761d565f71,Wall Street trading groups step up incursion into crypto markets,2021-09-17 04:01:00+00:00,"...high-frequency trading firms first piled into crypto markets in 2017, when ",Cryptocurrencies
https://www.ft.com/content/6fc8ed49-2fa9-4388-bc74-0de6ce25c4af,FirstFT: US launches security pact to challenge China,2021-09-16 10:37:42+00:00,"...a significant victory to pharmaceutical companies.
						
						3. Dalio warns regulators could ‘kill’ ",FirstFT
https://www.ft.com/content/65beb1a8-dc0b-4c10-ac97-8ed7b7a1b8af,THG to spin off its beauty business,2021-09-16 07:34:58+00:00,"...Ray Dalio, the founder of Bridgewater Associates, said regulators will shut down ",City Bulletin
https://www.ft.com/content/b2fada0d-473b-4e45-a302-e9ad0dddb393,Lowest bidder wins: the calculations behind a $31bn rail deal,2021-09-16 04:00:45+00:00,"...to duck merger reviews, FTC says (Bloomberg)
						
						Dalio warns regulators will ‘kill’ ",Due Diligence
https://www.ft.com/content/3a820200-0128-42b3-be6c-f5abd6381efa,Laos pushes into crypto as it authorises mining and trading,2021-09-15 23:00:44+00:00,"...bank, had been authorised to begin mining and trading cryptocurrencies such as ",Cryptocurrencies
https://www.ft.com/content/fc50c983-3e81-4cc6-814f-6c1e4eaf0093,Dalio warns regulators will ‘kill’ ,2021-09-15 18:28:51+00:00,...Ray Dalio said regulators will shut down ,Bitcoin
https://www.ft.com/content/f928d37b-6f9b-465f-8c42-e5c1e2ca35b3,Shape-shifting crypto looks to evade regulators,2021-09-15 17:52:02+00:00,...regular currencies markets. The strong pace of gains means funds focused on ,#techFT
https://www.ft.com/content/beeb2f8c-99ec-494b-aa76-a7be0bf9dae6,Cryptocurrency: rise of decentralised finance sparks ‘dirty money’ fears ,2021-09-15 04:00:37+00:00,‘Know your customer’ rules for banks and brokers underpin anti-money laundering efforts but are at risk due to DeFi ,The Big Read
https://www.ft.com/content/c7bf6cf3-4167-49cb-9dd8-2d3b89c8a63f,Hedge funds riding crypto wave post bumper returns,2021-09-14 16:46:59+00:00,"...and currencies markets.
						
						The strong pace of gains means funds focused on ",Hedge funds
https://www.ft.com/content/8b1f5ac1-e579-4ff5-964f-17be6032e45e,Litecoin whipsaws after ‘illegitimate press release’ on Walmart tie-up,2021-09-13 21:40:15+00:00,"...com, the ecommerce company. The electric carmaker Tesla said it would accept ",Cryptocurrencies
https://www.ft.com/content/7a4142dd-a472-4675-84df-286656d562cf,Investors reward Varo’s banking capacity with $510m haul,2021-09-13 18:00:26+00:00,"...from theory to practice In Latin America, El Salvador’s experiment using ",#fintechFT
https://www.ft.com/content/bad3ed79-6e06-4a35-8383-cda0f2a8a729,Ant split says more about money than Ma ,2021-09-13 15:09:40+00:00,...of Big Tech to tackle the threat posed by the likes of ,FT Alphaville
https://www.ft.com/content/e500c809-a05d-4852-ac07-46c506e1316a,ETFs: how to balance freedom and investor protection? Disclose the downside,2021-09-13 04:00:30+00:00,"...by retail investors, such as Robinhood and AMC, to cryptocurrencies such as ",Brooke Masters
https://www.ft.com/content/dff39335-95a2-4aee-bf0b-0bfea1c05423,Crypto ETF assets treble as investors take risks,2021-09-13 04:00:30+00:00,"...crypto platforms on the London Underground. Against this backdrop, he argues that ",Latest news on ETFs
